post_title,sku,images
"Bồn nước inox 304 310L đứng Đại Thành ĐT304-310Đ",ĐT304-310Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-310l.png ! alt :  ! title : bon-inox-sus-304-dung-310l.png ! desc :  ! caption : "
"Bồn nước inox 304 500L đứng Đại Thành ĐT304-500Đ",ĐT304-500Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-500l.png ! alt :  ! title : bon-inox-sus-304-dung-500l.png ! desc :  ! caption : "
"Bồn nước inox 304 700L đứng Đại Thành ĐT304-700Đ",ĐT304-700Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-700l.png ! alt :  ! title : bon-inox-sus-304-dung-700l.png ! desc :  ! caption : "
"Bồn nước inox 304 1000L đứng Đại Thành ĐT304-1000Đ",ĐT304-1000Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-1000l.png ! alt :  ! title : bon-inox-sus-304-dung-1000l.png ! desc :  ! caption : "
"Bồn nước inox 304 1500L đứng Đại Thành ĐT304-1500Đ",ĐT304-1500Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-1500l.png ! alt :  ! title : bon-inox-sus-304-dung-1500l.png ! desc :  ! caption : "
"Bồn nước inox 304 2000L đứng Đại Thành ĐT304-2000Đ",ĐT304-2000Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-2000l.png ! alt :  ! title : bon-inox-sus-304-dung-2000l.png ! desc :  ! caption : "
"Bồn nước inox 304 2500L đứng Đại Thành ĐT304-2500Đ",ĐT304-2500Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-2500l.png ! alt :  ! title : bon-inox-sus-304-dung-2500l.png ! desc :  ! caption : "
"Bồn nước inox 304 3000L đứng Đại Thành ĐT304-3000Đ",ĐT304-3000Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-3000l.png ! alt :  ! title : bon-inox-sus-304-dung-3000l.png ! desc :  ! caption : "
"Bồn nước inox 304 4000L đứng Đại Thành ĐT304-4000Đ",ĐT304-4000Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-4000l.png ! alt :  ! title : bon-inox-sus-304-dung-4000l.png ! desc :  ! caption : "
"Bồn nước inox 304 4500L đứng Đại Thành ĐT304-4500Đ",ĐT304-4500Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-4500l.png ! alt :  ! title : bon-inox-sus-304-dung-4500l.png ! desc :  ! caption : "
"Bồn nước inox 304 5000L đứng Đại Thành ĐT304-5000Đ",ĐT304-5000Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-5000l.png ! alt :  ! title : bon-inox-sus-304-dung-5000l.png ! desc :  ! caption : "
"Bồn nước inox 304 6000L đứng Đại Thành ĐT304-6000Đ",ĐT304-6000Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-dung.jpg ! alt :  ! title : bonnuocinox304-dung.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-dung-6000l.png ! alt :  ! title : bon-inox-sus-304-dung-6000l.png ! desc :  ! caption : "
"Bồn nước inox 304 310L ngang Đại Thành ĐT304-310N",ĐT304-310N,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-ngang.png ! alt :  ! title : bonnuocinox304-ngang.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-ngang-310l.png ! alt :  ! title : bon-inox-sus-304-ngang-310l.png ! desc :  ! caption : "
"Bồn nước inox 304 500L ngang Đại Thành ĐT304-500N",ĐT304-500N,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-ngang.png ! alt :  ! title : bonnuocinox304-ngang.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-ngang-500l.png ! alt :  ! title : bon-inox-sus-304-ngang-500l.png ! desc :  ! caption : "
"Bồn nước inox 304 700L ngang Đại Thành ĐT304-700N",ĐT304-700N,"https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bonnuocinox304-ngang.png ! alt :  ! title : bonnuocinox304-ngang.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/06/bon-inox-sus-304-ngang-700l.png ! alt :  ! title : bon-inox-sus-304-ngang-700l.png ! desc :  ! caption : "
